Gene ID	pathway_id	Pathway	Activity	
PF3D7_0414000	cel_cycle_prot	Cell cycle compartment assocation between P. falciparum cell cycle perturbed transcriptomes	structural maintenance of chromosomes protein 3, putative	
PF3D7_0414000	nucle_prote	Nuclear proteome	structural maintenance of chromosomes protein 3, putative	
PF3D7_0414000	organizKinetochore	Putative organization of the kinetochore	structural maintenance of chromosomes protein 3, putative	
PF3D7_0414000	mtub_centros	Microtubule organization at the centrosome	structural maintenance of chromosomes protein 3, putative	
PF3D7_0414000	phospoprot	Phosphoproteome	structural maintenance of chromosomes protein 3, putative	
PF3D7_0414000	protProphase	Proteins involved in steps during passage through prophase	structural maintenance of chromosomes protein 3, putative	
PF3D7_0414200	molecularMotor	Molecular motor prototypes	calmodulin-like protein	
PF3D7_0414200	calmodulin	Calcium - calmodulin activation of protein kinases	calmodulin-like protein	
PF3D7_0414300	Chloram_transc	Chloramphenicol - effect of drug on gene transcription	Rab5-interacting protein, putative	
PF3D7_0414300	rab_prots	Rab proteins	Rab5-interacting protein, putative	
PF3D7_0414500	lys_met	Peptides with confirmed methylated lysine residues	RNA-binding protein, putative	
PF3D7_0414500	P_body	Encoded proteins that could be constituents of P-bodies	RNA-binding protein, putative	
PF3D7_0414500	splic_regul	Regulated splicing through controlling the assembly of the core splicing machinery	RNA-binding protein, putative	
PF3D7_0414500	splic_coop	Cooperation and competition of splicing factors in regulated splicing	RNA-binding protein, putative	
PF3D7_0414500	alt_splic_regul	Regulators of alternative splicing	RNA-binding protein, putative	
PF3D7_0414500	splic_regu	Genomic landscape of splicing regulators	RNA-binding protein, putative	
PF3D7_0414500	RNA_prot	RNA binding proteins	RNA-binding protein, putative	
PF3D7_0414600	proteinsLocalizpath	Subcellular localization of proteins involved in invasion	acylated pleckstrin-homology domain-containing protein, putative	
PF3D7_0414600	myrist	Myristoylated proteins	acylated pleckstrin-homology domain-containing protein, putative	
PF3D7_0414700	api_prot	The proteome of the apicoplast	GTP-binding protein, putative	
PF3D7_0414700	apicoplastgenes	Nuclear genes with apicoplast signal sequences	GTP-binding protein, putative	
PF3D7_0414700	riboMaturation	Maturation and export of 60S and 40S ribosomal subunits	GTP-binding protein, putative	
PF3D7_0414700	Acet_prot	Lysine acetylated proteins	GTP-binding protein, putative	
PF3D7_0414900	phosph_treeck	Phosphoproteome - Treeck et al 2011	armadillo-domain containing rhoptry protein	
PF3D7_0414900	phospho_mero	Phosphoproteome of the merozoite	armadillo-domain containing rhoptry protein	
PF3D7_0414900	Acet_prot	Lysine acetylated proteins	armadillo-domain containing rhoptry protein	
PF3D7_0414900	myrist	Myristoylated proteins	armadillo-domain containing rhoptry protein	
PF3D7_0414900	phospoprot	Phosphoproteome	armadillo-domain containing rhoptry protein	
PF3D7_0414900	hyperox	Effect of hyperoxia on gene expression	armadillo-domain containing rhoptry protein	
PF3D7_0414900	PKG_substr	Potential PKG substrates in  schizonts	armadillo-domain containing rhoptry protein	
PF3D7_0414900	signal_egress	Localization of the key cyclic nucleotide signaling components in a merozoite prior to egress	armadillo-domain containing rhoptry protein	
PF3D7_0414900	phosph_Pease	Phosphoproteome - Pease et al 2013	armadillo-domain containing rhoptry protein	
PF3D7_0414900	centrosome	Centrosome proteins	armadillo-domain containing rhoptry protein	
PF3D7_0414900	PKG	Protein kinase G-dependent phosphorylation in schizonts	armadillo-domain containing rhoptry protein	
PF3D7_0414900	phosph_Collins	Phosphoproteome - Collins et al 2014	armadillo-domain containing rhoptry protein	
PF3D7_0414900	RNA_Seq	Alternative splicing events confirmed by RNA-Seq	armadillo-domain containing rhoptry protein	
PF3D7_0414900	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	armadillo-domain containing rhoptry protein	
PF3D7_0415000	PQS	P. falciparum genes harboring G-quadruplexes	arsenical pump-driving ATPase, putative	
PF3D7_0415000	Trns_GPI	SRP independent translocation of GPI anchored proteins	arsenical pump-driving ATPase, putative	
PF3D7_0415000	prot_ATP	Proteins with ATPase activity	arsenical pump-driving ATPase, putative	
PF3D7_0415000	phospoprot	Phosphoproteome	arsenical pump-driving ATPase, putative	
PF3D7_0415000	transporters	Genes coding for transport proteins	arsenical pump-driving ATPase, putative	
PF3D7_0415200	SUMO_subs	Putative SUMO substrates	conserved Plasmodium protein, unknown function	
PF3D7_0415300	Protein_kinases	Protein kinase coding genes	cdc2-related protein kinase 3	
PF3D7_0415300	cAMP_stage	Differentially expressed genes in different stages treated with cAMP	cdc2-related protein kinase 3	
PF3D7_0415300	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	cdc2-related protein kinase 3	
PF3D7_0415300	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	cdc2-related protein kinase 3	
PF3D7_0415300	phosph_Collins	Phosphoproteome - Collins et al 2014	cdc2-related protein kinase 3	
PF3D7_0415300	phosph_Pease	Phosphoproteome - Pease et al 2013	cdc2-related protein kinase 3	
PF3D7_0415300	phospho_mero	Phosphoproteome of the merozoite	cdc2-related protein kinase 3	
PF3D7_0415300	seve_uncom	Genes differentially expressed in severe malaria	cdc2-related protein kinase 3	
PF3D7_0415300	centrosome	Centrosome proteins	cdc2-related protein kinase 3	
PF3D7_0415300	phosph_treeck	Phosphoproteome - Treeck et al 2011	cdc2-related protein kinase 3	
PF3D7_0415300	phospoprot	Phosphoproteome	cdc2-related protein kinase 3	
PF3D7_0415400	phosph_Pease	Phosphoproteome - Pease et al 2013	coatomer subunit zeta, putative	
PF3D7_0415400	COPI	Classical COPI-mediated vesicular transport	coatomer subunit zeta, putative	
PF3D7_0415400	prot_protease	Protein-protein associations involving proteases	coatomer subunit zeta, putative	
PF3D7_0415400	prot_prot_traf	Genes coding for protein traffic related proteins	coatomer subunit zeta, putative	
PF3D7_0415400	phospoprot	Phosphoproteome	coatomer subunit zeta, putative	
PF3D7_0415400	phosph_treeck	Phosphoproteome - Treeck et al 2011	coatomer subunit zeta, putative	
PF3D7_0415400	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	coatomer subunit zeta, putative	
PF3D7_0415400	sub_loc_adapt	Subcellular location of adaptor proteins	coatomer subunit zeta, putative	
PF3D7_0415500	exportin	Karyopherin/exportin-mediated nuclear export pathways	nuclear cap-binding protein subunit 2, putative	
PF3D7_0415500	phospoprot	Phosphoproteome	nuclear cap-binding protein subunit 2, putative	
PF3D7_0415500	Acet_prot	Lysine acetylated proteins	nuclear cap-binding protein subunit 2, putative	
PF3D7_0415500	cel_cycle_prot	Cell cycle compartment assocation between P. falciparum cell cycle perturbed transcriptomes	nuclear cap-binding protein subunit 2, putative	
PF3D7_0415500	drCDC_unk	Network analysis of drCDC-UNK proteins and their potential protein interactions	nuclear cap-binding protein subunit 2, putative	
PF3D7_0415500	RNA_prot	RNA binding proteins	nuclear cap-binding protein subunit 2, putative	
PF3D7_0415500	bulk_mRna	Bulk mRNA transport through the nuclear pore	nuclear cap-binding protein subunit 2, putative	
PF3D7_0415500	qualityControl	Quality control in mRNA biogenesis	nuclear cap-binding protein subunit 2, putative	
PF3D7_0415600	purinemetpath	Purine metabolism	GTP:AMP phosphotransferase	
PF3D7_0415600	nuclearGenes	Nuclear genes with mitochondrial signal sequences	GTP:AMP phosphotransferase	
PF3D7_0415600	prot_protease	Protein-protein associations involving proteases	GTP:AMP phosphotransferase	
PF3D7_0415600	pyrimidinemetpath	Pyrimidine metabolism	GTP:AMP phosphotransferase	
PF3D7_0415800	phosph_Collins	Phosphoproteome - Collins et al 2014	RING zinc finger protein, putative	
PF3D7_0415800	ubiq_gene	Genes encoding ubiquitin-related reactions	RING zinc finger protein, putative	
PF3D7_0415800	phosph_Pease	Phosphoproteome - Pease et al 2013	RING zinc finger protein, putative	
PF3D7_0415800	phospoprot	Phosphoproteome	RING zinc finger protein, putative	
PF3D7_0415800	phospho_mero	Phosphoproteome of the merozoite	RING zinc finger protein, putative	
PF3D7_0415900	ribosomeStruct	Ribosomal structure	60S ribosomal protein L15, putative	
PF3D7_0415900	phosph_Pease	Phosphoproteome - Pease et al 2013	60S ribosomal protein L15, putative	
PF3D7_0415900	phosph_treeck	Phosphoproteome - Treeck et al 2011	60S ribosomal protein L15, putative	
PF3D7_0415900	phosph_Collins	Phosphoproteome - Collins et al 2014	60S ribosomal protein L15, putative	
PF3D7_0415900	Prot_protstre	Predicted protein-protein interactions of plausible stress helicases	60S ribosomal protein L15, putative	
PF3D7_0415900	phospoprot	Phosphoproteome	60S ribosomal protein L15, putative	
PF3D7_0415900	nucle_prote	Nuclear proteome	60S ribosomal protein L15, putative	
PF3D7_0416000	PQS	P. falciparum genes harboring G-quadruplexes	RNA-binding protein, putative	
PF3D7_0416000	RNA_prot	RNA binding proteins	RNA-binding protein, putative	
PF3D7_0416000	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	RNA-binding protein, putative	
PF3D7_0416000	phosph_Pease	Phosphoproteome - Pease et al 2013	RNA-binding protein, putative	
PF3D7_0416000	Acet_prot	Lysine acetylated proteins	RNA-binding protein, putative	
PF3D7_0416000	seve_uncom	Genes differentially expressed in severe malaria	RNA-binding protein, putative	
PF3D7_0416000	phospoprot	Phosphoproteome	RNA-binding protein, putative	
PF3D7_0416000	phospho_mero	Phosphoproteome of the merozoite	RNA-binding protein, putative	
PF3D7_0416000	phosph_treeck	Phosphoproteome - Treeck et al 2011	RNA-binding protein, putative	
PF3D7_0416000	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	RNA-binding protein, putative	
PF3D7_0416000	phosph_Collins	Phosphoproteome - Collins et al 2014	RNA-binding protein, putative	
PF3D7_0416100	api_prot	The proteome of the apicoplast	glutamyl-tRNA(Gln) amidotransferase subunit A	
PF3D7_0416100	adenylyl	Modification of proteins by adenylylation and ADP-ribosylation	glutamyl-tRNA(Gln) amidotransferase subunit A	
PF3D7_0416100	crt_mdr_GEN	Genes whose expression is highly positively or negatively correlated with pfcrt or pfmdr1	glutamyl-tRNA(Gln) amidotransferase subunit A	
PF3D7_0416100	seve_uncom	Genes differentially expressed in severe malaria	glutamyl-tRNA(Gln) amidotransferase subunit A	
PF3D7_0416100	apicoplastgenes	Nuclear genes with apicoplast signal sequences	glutamyl-tRNA(Gln) amidotransferase subunit A	
PF3D7_0416100	glutamatemetpath	Glutamate metabolism	glutamyl-tRNA(Gln) amidotransferase subunit A	
PF3D7_0416300	phospoprot	Phosphoproteome	DNA helicase MCM9, putative	
PF3D7_0416300	replicationForm	Pre-replicative complex formation and transition to replication	DNA helicase MCM9, putative	
PF3D7_0416300	DNAgenes	Genes coding for enzymes/proteins involved in DNA replication	DNA helicase MCM9, putative	
PF3D7_0416300	hist_chap	Histone chaperones	DNA helicase MCM9, putative	
PF3D7_0416300	helicases	Helicases	DNA helicase MCM9, putative	
PF3D7_0416300	Acet_prot	Lysine acetylated proteins	DNA helicase MCM9, putative	
PF3D7_0416300	phosph_treeck	Phosphoproteome - Treeck et al 2011	DNA helicase MCM9, putative	
PF3D7_0416400	chrom_lands	Plasmodium falciparum chromatin landscape	histone acetyltransferase, putative	
PF3D7_0416400	Histone	Histone acetylation	histone acetyltransferase, putative	
PF3D7_0416400	H3H4_Chap	Distinct H3/H4 - histone chaperone complexes are marked by specific H3/H4 posttranslational modifications	histone acetyltransferase, putative	
PF3D7_0416400	PQS	P. falciparum genes harboring G-quadruplexes	histone acetyltransferase, putative	
PF3D7_0416400	histone_chaperone	Chaperone-mediated modulation of nucleosome-histone interactions	histone acetyltransferase, putative	
PF3D7_0416400	metab_his	Effects of small metabolites on gene expression	histone acetyltransferase, putative	
PF3D7_0416400	Acet_prot	Lysine acetylated proteins	histone acetyltransferase, putative	
PF3D7_0416400	N-term_acet	Protein N-terminal acetylation	histone acetyltransferase, putative	
PF3D7_0416400	phosph_treeck	Phosphoproteome - Treeck et al 2011	histone acetyltransferase, putative	
PF3D7_0416400	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	histone acetyltransferase, putative	
PF3D7_0416400	nucle_prote	Nuclear proteome	histone acetyltransferase, putative	
PF3D7_0416400	phospoprot	Phosphoproteome	histone acetyltransferase, putative	
PF3D7_0416400	chrom_mod_prot	Chromatin modifying proteins	histone acetyltransferase, putative	
PF3D7_0416400	phospho_mero	Phosphoproteome of the merozoite	histone acetyltransferase, putative	
PF3D7_0416400	phosph_Collins	Phosphoproteome - Collins et al 2014	histone acetyltransferase, putative	
PF3D7_0416400	hist_chap	Histone chaperones	histone acetyltransferase, putative	
PF3D7_0416500	RNApolyIII	RNA polymerase III transcribes tRNA and 5S rRNA	repressor of RNA polymerase III transcription MAF1, putative	
PF3D7_0416500	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	repressor of RNA polymerase III transcription MAF1, putative	
PF3D7_0416500	phospoprot	Phosphoproteome	repressor of RNA polymerase III transcription MAF1, putative	
PF3D7_0416500	diffprot	Differential proteome analysis under drug treatment	repressor of RNA polymerase III transcription MAF1, putative	
PF3D7_0416500	phospho_mero	Phosphoproteome of the merozoite	repressor of RNA polymerase III transcription MAF1, putative	
PF3D7_0416600	prot_protease	Protein-protein associations involving proteases	prohibitin-like protein phbl, putative	
PF3D7_0416600	Tafenoq_transc	Tafenoquine - effect of drug on gene transcription	prohibitin-like protein phbl, putative	
PF3D7_0416700	cytosol-Fe-S	Maturation of cytosolic and nuclear Fe-S proteins	CDGSH iron-sulfur domain-containing protein, putative	
PF3D7_0416700	Fe-SprotTab	Genes coding for Fe-S containing proteins	CDGSH iron-sulfur domain-containing protein, putative	
PF3D7_0416700	BiosynthFeS	Biosynthesis of Fe-S proteins in the apicoplast	CDGSH iron-sulfur domain-containing protein, putative	
PF3D7_0416700	FeSProtein	Mechanism of Fe-S-protein biogenesis	CDGSH iron-sulfur domain-containing protein, putative	
PF3D7_0416700	Acet_prot	Lysine acetylated proteins	CDGSH iron-sulfur domain-containing protein, putative	
PF3D7_0416800	phosph_treeck	Phosphoproteome - Treeck et al 2011	small GTP-binding protein sar1	
PF3D7_0416800	MCprot	Established and putative Maurer's clefts proteins	small GTP-binding protein sar1	
PF3D7_0416800	RBC_memb_remodel	Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte	small GTP-binding protein sar1	
PF3D7_0416800	phospho_mero	Phosphoproteome of the merozoite	small GTP-binding protein sar1	
PF3D7_0416800	exportome	Exportome - compiled from various sources	small GTP-binding protein sar1	
PF3D7_0416800	prot_protease	Protein-protein associations involving proteases	small GTP-binding protein sar1	
PF3D7_0416800	COPII	Classical COPII-mediated vesicular transport	small GTP-binding protein sar1	
PF3D7_0416800	prot_prot_traf	Genes coding for protein traffic related proteins	small GTP-binding protein sar1	
PF3D7_0416800	prot_ATP	Proteins with ATPase activity	small GTP-binding protein sar1	
PF3D7_0416800	Par_RBC	Protein-Protein Interactions between Human Erythrocytes and Plasmodium falciparum	small GTP-binding protein sar1	
PF3D7_0416800	ARF_func	ADP ribosylation factors functions in the secretory pathway	small GTP-binding protein sar1	
PF3D7_0416800	phosph_Collins	Phosphoproteome - Collins et al 2014	small GTP-binding protein sar1	
PF3D7_0416800	FV_prot	Food vacuole proteome	small GTP-binding protein sar1	
PF3D7_0416800	phospoprot	Phosphoproteome	small GTP-binding protein sar1	
PF3D7_0417100	Methotrex_transc	Methotrexate - effect of drug on gene transcription	mRNA-binding protein PUF2	
PF3D7_0417100	proteinBiosynth	Protein biosynthesis	mRNA-binding protein PUF2	
PF3D7_0417100	gemetogen	Model for the regulation of commitment and gametocytogenesis	mRNA-binding protein PUF2	
PF3D7_0417100	RNA_prot	RNA binding proteins	mRNA-binding protein PUF2	
PF3D7_0417100	gene_gemetogen	Possible regulators of gene regulation during commitment and gametocytogenesis	mRNA-binding protein PUF2	
PF3D7_0417200	targ_pred	Drug-target associations predicted for P. falciparum	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	nitrosylatedProt	S-nitrosylated proteins	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	prot_ATP	Proteins with ATPase activity	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	drug_targ	Drug targets	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	res_antimal	Molecular markers of resistance to antimalarial drugs	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	pyrimidinemetpath	Pyrimidine metabolism	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	ART_prot_Prot	The ART proteome	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	enz_imp	Single Gene/enzyme deletions predicted to cause impairment of metabolic networks	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	res_antifol	Evolution of parasite resistance to antifolates	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	folatebiopath	Folate biosynthesis	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	essent_gene	Essential metabolic genes	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417200	gluth_prot	S-Glutathionylated proteins	bifunctional dihydrofolate reductase-thymidylate synthase	
PF3D7_0417300	Ca_homeost	The homeostasis of Ca2+ in malaria parasites	LETM1-like protein, putative	
PF3D7_0417300	nuclearGenes	Nuclear genes with mitochondrial signal sequences	LETM1-like protein, putative	
PF3D7_0417300	palmito	Total palmitome of Plasmodium falciparum	LETM1-like protein, putative	
PF3D7_0417300	transporters	Genes coding for transport proteins	LETM1-like protein, putative	
PF3D7_0417300	gene_lumef	Gene expression affected by lumefantrine	LETM1-like protein, putative	
PF3D7_0417300	coli_orth	Functional orthologs of known cell cycle proteins in E. coli	LETM1-like protein, putative	
PF3D7_0417500	RNA_Seq	Alternative splicing events confirmed by RNA-Seq	memo-like protein	
PF3D7_0417500	nucle_prote	Nuclear proteome	memo-like protein	
PF3D7_0417800	phosph_Collins	Phosphoproteome - Collins et al 2014	cdc2-related protein kinase 1	
PF3D7_0417800	Protein_kinases	Protein kinase coding genes	cdc2-related protein kinase 1	
PF3D7_0417800	spindle_kinesin	Control of the mitotic spindle organization by kinesins	cdc2-related protein kinase 1	
PF3D7_0417800	phospoprot	Phosphoproteome	cdc2-related protein kinase 1	
PF3D7_0417800	phospho_mero	Phosphoproteome of the merozoite	cdc2-related protein kinase 1	
PF3D7_0417800	phosph_Pease	Phosphoproteome - Pease et al 2013	cdc2-related protein kinase 1	
PF3D7_0417800	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	cdc2-related protein kinase 1	
PF3D7_0417800	phosph_treeck	Phosphoproteome - Treeck et al 2011	cdc2-related protein kinase 1	
PF3D7_0417800	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	cdc2-related protein kinase 1	
PF3D7_0417800	centrosome	Centrosome proteins	cdc2-related protein kinase 1	
PF3D7_0418000	redoxReg	Proteins targeted by the thioredoxin superfamily enzymes	conserved Plasmodium protein, unknown function	
PF3D7_0418200	proteasome_new	Genes coding for components of the proteasome degradation machinery & their timed transcription	eukaryotic translation initiation factor 3 subunit m, putative	
PF3D7_0418200	Acet_prot	Lysine acetylated proteins	eukaryotic translation initiation factor 3 subunit m, putative	
PF3D7_0418200	intTranslation	Initiation of translation	eukaryotic translation initiation factor 3 subunit m, putative	
PF3D7_0418200	crt_mdr_GEN	Genes whose expression is highly positively or negatively correlated with pfcrt or pfmdr1	eukaryotic translation initiation factor 3 subunit m, putative	
PF3D7_0418200	prot_ATP	Proteins with ATPase activity	eukaryotic translation initiation factor 3 subunit m, putative	
PF3D7_0418200	transl_regul	Transcripts translationally regulated in asexual blood stages	eukaryotic translation initiation factor 3 subunit m, putative	
PF3D7_0418200	nucle_prote	Nuclear proteome	eukaryotic translation initiation factor 3 subunit m, putative	
PF3D7_0418500	crt_mdr_GEN	Genes whose expression is highly positively or negatively correlated with pfcrt or pfmdr1	trafficking protein particle complex subunit 3, putative	
PF3D7_0418500	largeTethering	Large Tethering Complexes that Act in the Secretory and Endocytic Pathways	trafficking protein particle complex subunit 3, putative	
PF3D7_0418500	palmito	Total palmitome of Plasmodium falciparum	trafficking protein particle complex subunit 3, putative	
PF3D7_0418500	prot_protease	Protein-protein associations involving proteases	trafficking protein particle complex subunit 3, putative	
PF3D7_0418500	prot_prot_traf	Genes coding for protein traffic related proteins	trafficking protein particle complex subunit 3, putative	
PF3D7_0418500	er_golgi_tr_qa	ER-to Golgi, translocation and quality control	trafficking protein particle complex subunit 3, putative	
PF3D7_0418500	rabCycle	Rab cycle	trafficking protein particle complex subunit 3, putative	
PF3D7_0418500	gluth_prot	S-Glutathionylated proteins	trafficking protein particle complex subunit 3, putative	
PF3D7_0418600	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	regulator of chromosome condensation, putative	
PF3D7_0418600	phosph_Collins	Phosphoproteome - Collins et al 2014	regulator of chromosome condensation, putative	
PF3D7_0418600	phospho_mero	Phosphoproteome of the merozoite	regulator of chromosome condensation, putative	
PF3D7_0418600	import_export	Import and export through the nuclear pore	regulator of chromosome condensation, putative	
PF3D7_0418600	phospoprot	Phosphoproteome	regulator of chromosome condensation, putative	
PF3D7_0418600	coli_orth	Functional orthologs of known cell cycle proteins in E. coli	regulator of chromosome condensation, putative	
PF3D7_0418700	ribo_matur	Pathway for Cytoplasmic 40S maturation	RNA-binding protein NOB1, putative	
PF3D7_0418700	Ribosomegenes	Genes coding for components involved in ribosome assembly	RNA-binding protein NOB1, putative	
PF3D7_0418700	transl_regul	Transcripts translationally regulated in asexual blood stages	RNA-binding protein NOB1, putative	
PF3D7_0418700	40S_assemb_path	Pre-ribosomal particles along the 40S assembly pathway	RNA-binding protein NOB1, putative	
PF3D7_0418700	RNA_prot	RNA binding proteins	RNA-binding protein NOB1, putative	
PF3D7_0418700	ribos_qual_contr	Assembly factors and their roles in quality control during ribosome maturation	RNA-binding protein NOB1, putative	
PF3D7_0419200	vesExocytosis	Molecular model of vesicle exocytosis	protein transport protein GOT1, putative	
PF3D7_0419400	prot_rupt	Proteins released from infected cells during rupture	conserved Plasmodium protein, unknown function	
PF3D7_0419600	lys_met	Peptides with confirmed methylated lysine residues	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	gluth_prot	S-Glutathionylated proteins	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	phospoprot	Phosphoproteome	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	nitrosylatedProt	S-nitrosylated proteins	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	prot_protease	Protein-protein associations involving proteases	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	coli_orth	Functional orthologs of known cell cycle proteins in E. coli	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	centrosome	Centrosome proteins	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	highest_mRNA	Highest expressed genes based on mRNA abundance	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	prot_ATP	Proteins with ATPase activity	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	transl_regul	Transcripts translationally regulated in asexual blood stages	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	phosph_Collins	Phosphoproteome - Collins et al 2014	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	Acet_prot	Lysine acetylated proteins	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	P_body	Encoded proteins that could be constituents of P-bodies	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	nuclearPore	Structure of the nuclear pore	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	phosph_treeck	Phosphoproteome - Treeck et al 2011	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419600	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	ran-specific GTPase-activating protein 1, putative	
PF3D7_0419700	Progu_transc	Proguanil - effect of drug on gene transcription	apical merozoite protein	
PF3D7_0419700	Merozoiteproteins	Functional annotation of merozoite invasion-related proteins	apical merozoite protein	
PF3D7_0419700	lipid_raft	Location of lipid raft-associated proteins	apical merozoite protein	
PF3D7_0419700	palmito	Total palmitome of Plasmodium falciparum	apical merozoite protein	
PF3D7_0419700	GPI_prots	Genes coding for GPI-anchored membrane proteins	apical merozoite protein	
PF3D7_0419700	proteinsLocalizpath	Subcellular localization of proteins involved in invasion	apical merozoite protein	
PF3D7_0419800	ribosomeStruct	Ribosomal structure	60S ribosomal protein L7ae/L30e, putative	
PF3D7_0419800	seve_uncom	Genes differentially expressed in severe malaria	60S ribosomal protein L7ae/L30e, putative	
PF3D7_0419800	nucle_prote	Nuclear proteome	60S ribosomal protein L7ae/L30e, putative	
PF3D7_0419900	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	PIS_traff	Phosphoinositides and membrane traffic	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	phosph_Pease	Phosphoproteome - Pease et al 2013	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	Rab_PIP	Shared themes in cascading Rab and phosphoinositide pathways	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	phosph_Collins	Phosphoproteome - Collins et al 2014	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	PL_synth	Enzymes involved in glycerophospholipid synthesis	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	sterol_transf	Sterol transport and phosphatidylinositol 4-phosphate transfer between endoplasmic reticulum and Golgi membranes	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	Acet_prot	Lysine acetylated proteins	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	phosph_treeck	Phosphoproteome - Treeck et al 2011	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	inosiPhosphmetpath	Inositol Phosphate metabolism	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	lysoPC	LysoPC depletion induces gene activity	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	phospoprot	Phosphoproteome	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	ARF_func	ADP ribosylation factors functions in the secretory pathway	phosphatidylinositol 4-kinase, putative	
PF3D7_0419900	Phtase_1	Interactome of the Ser/Thr Protein Phosphatase type 1	phosphatidylinositol 4-kinase, putative	
PF3D7_0420000	Phtase_1	Interactome of the Ser/Thr Protein Phosphatase type 1	zinc finger protein, putative	
PF3D7_0420000	nucle_prote	Nuclear proteome	zinc finger protein, putative	
PF3D7_0420000	Acet_prot	Lysine acetylated proteins	zinc finger protein, putative	
PF3D7_0420000	cAMP_stage	Differentially expressed genes in different stages treated with cAMP	zinc finger protein, putative	
PF3D7_0420000	seve_uncom	Genes differentially expressed in severe malaria	zinc finger protein, putative	
PF3D7_0420000	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	zinc finger protein, putative	
PF3D7_0420000	phosph_treeck	Phosphoproteome - Treeck et al 2011	zinc finger protein, putative	
PF3D7_0420000	SUMOylation	Post-translational modification -SUMOylation	zinc finger protein, putative	
PF3D7_0420000	phosph_Pease	Phosphoproteome - Pease et al 2013	zinc finger protein, putative	
PF3D7_0420000	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	zinc finger protein, putative	
PF3D7_0420000	phosph_Collins	Phosphoproteome - Collins et al 2014	zinc finger protein, putative	
PF3D7_0420100	ribos_qual_contr	Assembly factors and their roles in quality control during ribosome maturation	serine/threonine protein kinase RIO2	
PF3D7_0420100	40S_assemb_path	Pre-ribosomal particles along the 40S assembly pathway	serine/threonine protein kinase RIO2	
PF3D7_0420100	ribo_matur	Pathway for Cytoplasmic 40S maturation	serine/threonine protein kinase RIO2	
PF3D7_0420100	Acet_prot	Lysine acetylated proteins	serine/threonine protein kinase RIO2	
