Gene ID	source_id	Product Description	Previous ID(s)	gene_source_id	Gene Name or Symbol	Gene has Unmatched Transcripts	
PBANKA_0810600	PBANKA_0810600.1	exoribonuclease, putative	Previous IDs: PB000181.03.0;PB000392.00.0;PBANKA_081060	PBANKA_0810600	N/A	no	
PBANKA_0810700	PBANKA_0810700.1	subpellicular microtubule protein 1, putative	Previous IDs: PB000314.02.0;PBANKA_081070	PBANKA_0810700	SPM1	no	
PBANKA_0810800	PBANKA_0810800.1	conserved protein, unknown function	Previous IDs: PB000313.02.0;PB400443.00.0;PBANKA_081080	PBANKA_0810800	N/A	no	
PBANKA_0810900	PBANKA_0810900.1	FHA domain protein, putative	Previous IDs: PB000027.01.0;PBANKA_081090	PBANKA_0810900	N/A	no	
PBANKA_0811000	PBANKA_0811000.1	small nuclear ribonucleoprotein Sm D3, putative	Previous IDs: PB000030.01.0;PBANKA_081100	PBANKA_0811000	SNRPD3	no	
PBANKA_0811100	PBANKA_0811100.1	helicase SKI2W, putative	Previous IDs: PB000026.01.0;PBANKA_081110	PBANKA_0811100	N/A	no	
PBANKA_0811200	PBANKA_0811200.1	SET domain protein, putative	Previous IDs: PB000029.01.0;PBANKA_081120	PBANKA_0811200	SET4	no	
PBANKA_0811300	PBANKA_0811300.1	exportin-7, putative	Previous IDs: PB000019.03.0;PB000028.01.0;PBANKA_081130	PBANKA_0811300	N/A	no	
PBANKA_0811400	PBANKA_0811400.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000292.03.0;PB000293.03.0;PB300025.00.0;PB301274.00.0;PBANKA_081140	PBANKA_0811400	N/A	no	
PBANKA_0811500	PBANKA_0811500.1	conserved protein, unknown function	Previous IDs: PB000939.01.0;PBANKA_081150	PBANKA_0811500	N/A	no	
PBANKA_0811600	PBANKA_0811600.1	selenide water dikinase, putative	Previous IDs: PB000938.01.0;PBANKA_081160	PBANKA_0811600	N/A	no	
PBANKA_0811700	PBANKA_0811700.1	SNARE protein, putative	Previous IDs: PB000988.03.0;PBANKA_081170	PBANKA_0811700	N/A	no	
PBANKA_0811800	PBANKA_0811800.1	actin-like protein, putative	Previous IDs: PB000616.01.0;PB108645.00.0;PBANKA_081180	PBANKA_0811800	ALP5a	no	
PBANKA_0811900	PBANKA_0811900.1	cytosolic Fe-S cluster assembly factor NBP35, putative	Previous IDs: PB000617.01.0;PBANKA_081190	PBANKA_0811900	NBP35	no	
PBANKA_0812000	PBANKA_0812000.1	DNA primase large subunit, putative	Previous IDs: PB000615.01.0;PBANKA_081200	PBANKA_0812000	N/A	no	
PBANKA_0812100	PBANKA_0812100.1	phosphatidylinositol N-acetylglucosaminyltransferase, putative	Previous IDs: PBANKA_081210	PBANKA_0812100	N/A	no	
PBANKA_0812200	PBANKA_0812200.1	conserved protein, unknown function	Previous IDs: PB000175.00.0;PB000332.02.0;PB300604.00.0;PBANKA_081220	PBANKA_0812200	N/A	no	
PBANKA_0812300	PBANKA_0812300.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000176.00.0;PBANKA_081230	PBANKA_0812300	N/A	no	
PBANKA_0812400	PBANKA_0812400.1	cysteine repeat modular protein 1	Previous IDs: CRMP1;PB000174.00.0;PB301351.00.0;PBANKA_081240	PBANKA_0812400	CRMP1	no	
PBANKA_0812500	PBANKA_0812500.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000096.00.0;PB000564.00.0;PB000930.01.0;PBANKA_081250	PBANKA_0812500	N/A	no	
PBANKA_0812600	PBANKA_0812600.1	conserved Plasmodium protein, unknown function	Previous IDs: PB100146.00.1;PBANKA_081260	PBANKA_0812600	N/A	no	
PBANKA_0812700	PBANKA_0812700.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000501.02.0;PBANKA_081270	PBANKA_0812700	N/A	no	
PBANKA_0812800	PBANKA_0812800.1	GTP-binding protein, putative	Previous IDs: PB000500.02.0;PBANKA_081280	PBANKA_0812800	N/A	no	
PBANKA_0812900	PBANKA_0812900.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000503.02.0;PBANKA_081290	PBANKA_0812900	N/A	no	
PBANKA_0813000	PBANKA_0813000.1	inhibitor of cysteine proteases	Previous IDs: PB000502.02.0;PBANKA_081300	PBANKA_0813000	ICP	no	
PBANKA_0813100	PBANKA_0813100.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000983.01.0;PBANKA_081310	PBANKA_0813100	N/A	no	
PBANKA_0813200	PBANKA_0813200.1	zinc finger protein, putative	Previous IDs: PB000318.02.0;PBANKA_081320	PBANKA_0813200	N/A	no	
PBANKA_0813300	PBANKA_0813300.1	conserved protein, unknown function	Previous IDs: PB000232.02.0;PBANKA_081330	PBANKA_0813300	N/A	no	
PBANKA_0813400	PBANKA_0813400.1	alkaline phosphatase, putative	Previous IDs: PB000393.03.0;PBANKA_081340	PBANKA_0813400	N/A	no	
PBANKA_0813500	PBANKA_0813500.1	SAP domain-containing protein, putative	Previous IDs: PB107535.00.0;PBANKA_081350	PBANKA_0813500	N/A	no	
PBANKA_0813600	PBANKA_0813600.1	conserved Plasmodium protein, unknown function	Previous IDs: PB001446.02.0;PBANKA_081360	PBANKA_0813600	N/A	no	
PBANKA_0813700	PBANKA_0813700.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_081370	PBANKA_0813700	N/A	no	
PBANKA_0813800	PBANKA_0813800.1	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative	Previous IDs: PB001444.02.0;PB300384.00.0;PBANKA_081380	PBANKA_0813800	GCD10	no	
PBANKA_0813900	PBANKA_0813900.1	26S proteasome regulatory subunit RPN8, putative	Previous IDs: PB001445.02.0;PBANKA_081390	PBANKA_0813900	RPN8	no	
PBANKA_0814000	PBANKA_0814000.1	conserved protein, unknown function	Previous IDs: PB001447.02.0;PB402526.00.0;PBANKA_081400	PBANKA_0814000	N/A	no	
PBANKA_0814100	PBANKA_0814100.1	heptatricopeptide repeat-containing protein, putative	Previous IDs: PB301167.00.0;PB301176.00.0;PB404305.00.0;PBANKA_081410	PBANKA_0814100	N/A	no	
PBANKA_0814200	PBANKA_0814200.1	elongation factor 1-beta, putative	Previous IDs: PBANKA_081420	PBANKA_0814200	N/A	no	
PBANKA_0814300	PBANKA_0814300.1	conserved protein, unknown function	Previous IDs: PB000335.00.0;PBANKA_081430	PBANKA_0814300	N/A	no	
PBANKA_0814400	PBANKA_0814400.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000373.01.0;PBANKA_081440	PBANKA_0814400	N/A	no	
PBANKA_0814500	PBANKA_0814500.1	protease, putative	Previous IDs: PB000372.01.0;PBANKA_081450	PBANKA_0814500	N/A	no	
PBANKA_0814600	PBANKA_0814600.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000374.01.0;PB001262.00.0;PBANKA_081460	PBANKA_0814600	N/A	no	
PBANKA_0814700	PBANKA_0814700.1	conserved Plasmodium protein, unknown function	Previous IDs: PB001112.01.0;PB001261.00.0;PBANKA_081470	PBANKA_0814700	N/A	no	
PBANKA_0814800	PBANKA_0814800.1	conserved Plasmodium protein, unknown function	Previous IDs: PB104165.00.0;PBANKA_081480	PBANKA_0814800	N/A	no	
PBANKA_0814900	PBANKA_0814900.1	arginine--tRNA ligase, putative	Previous IDs: PB300892.00.0;PB300913.00.0;PBANKA_081490	PBANKA_0814900	RRSapi	no	
PBANKA_0815000	PBANKA_0815000.1	pseudouridylate synthase, putative	Previous IDs: PB000965.01.0;PBANKA_081500	PBANKA_0815000	N/A	no	
PBANKA_0815100	PBANKA_0815100.1	conserved Plasmodium protein, unknown function	Previous IDs: PB100346.00.0;PBANKA_081510	PBANKA_0815100	N/A	no	
PBANKA_0815200	PBANKA_0815200.1	phospholipid or glycerol acyltransferase, putative	Previous IDs: PB001143.00.0;PB300183.00.0;PBANKA_081520	PBANKA_0815200	N/A	no	
PBANKA_0815300	PBANKA_0815300.1	met-10+ like protein, putative	Previous IDs: PB000080.00.0;PBANKA_081530	PBANKA_0815300	N/A	no	
PBANKA_0815400	PBANKA_0815400.1	conserved protein, unknown function	Previous IDs: PB000214.02.0;PBANKA_081540	PBANKA_0815400	N/A	no	
PBANKA_0815500	PBANKA_0815500.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000215.02.0;PBANKA_081550	PBANKA_0815500	N/A	no	
PBANKA_0815600	PBANKA_0815600.1	transcription elongation factor 1, putative	Previous IDs: PB000461.03.0;PBANKA_081560	PBANKA_0815600	ELF1	no	
PBANKA_0815700	PBANKA_0815700.1	major facilitator superfamily-related transporter, putative	Previous IDs: PB001642.02.0;PBANKA_081570	PBANKA_0815700	MFR4	no	
PBANKA_0815800	PBANKA_0815800.1	GINS complex subunit Psf3, putative	Previous IDs: PB000137.02.0;PBANKA_081580	PBANKA_0815800	N/A	no	
PBANKA_0815900	PBANKA_0815900.1	BSD-domain protein, putative	Previous IDs: PB000138.02.0;PB300154.00.0;PBANKA_081590	PBANKA_0815900	N/A	no	
PBANKA_0816000	PBANKA_0816000.1	type II NADH:ubiquinone oxidoreductase	Previous IDs: PB300677.00.0;PB301156.00.0;PBANKA_081600	PBANKA_0816000	NDH2	no	
PBANKA_0816100	PBANKA_0816100.1	SUMO-conjugating enzyme UBC9, putative	Previous IDs: PB000414.02.0;PBANKA_081610	PBANKA_0816100	UBC9	no	
PBANKA_0816200	PBANKA_0816200.1	ribonuclease H2 subunit C, putative	Previous IDs: PB000413.02.0;PBANKA_081620	PBANKA_0816200	N/A	no	
PBANKA_0816300	PBANKA_0816300.1	heptatricopeptide repeat-containing protein, putative	Previous IDs: PB000412.02.0;PBANKA_081630	PBANKA_0816300	N/A	no	
PBANKA_0816400	PBANKA_0816400.1	ATP-dependent 6-phosphofructokinase, putative	Previous IDs: PB000520.00.0;PB301550.00.0;PBANKA_081640	PBANKA_0816400	PFK9	no	
PBANKA_0816500	PBANKA_0816500.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000402.02.0;PB102139.00.0;PB108586.00.0;PBANKA_081650	PBANKA_0816500	N/A	no	
PBANKA_0816600	PBANKA_0816600.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_081660	PBANKA_0816600	N/A	no	
PBANKA_0816700	PBANKA_0816700.1	cytochrome c oxidase subunit ApiCOX30, putative	Previous IDs: PB000908.00.0;PBANKA_081670	PBANKA_0816700	N/A	no	
PBANKA_0816800	PBANKA_0816800.1	glycolipid transfer protein, putative	Previous IDs: PB000907.00.0;PBANKA_081680	PBANKA_0816800	GLTP	no	
PBANKA_0816900	PBANKA_0816900.1	conserved Plasmodium protein, unknown function	Previous IDs: PB300275.00.0;PBANKA_081690	PBANKA_0816900	N/A	no	
PBANKA_0817000	PBANKA_0817000.1	major facilitator superfamily domain-containing protein, putative	Previous IDs: PB000243.00.0;PBANKA_081700	PBANKA_0817000	MFS2	no	
PBANKA_0817100	PBANKA_0817100.1	thioredoxin 3, putative	Previous IDs: PBANKA_081710	PBANKA_0817100	TRX3	no	
PBANKA_0817200	PBANKA_0817200.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000141.00.0;PB106800.00.0;PBANKA_081720	PBANKA_0817200	N/A	no	
PBANKA_0817300	PBANKA_0817300.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000376.00.0;PB404214.00.0;PBANKA_081730	PBANKA_0817300	N/A	no	
PBANKA_0817400	PBANKA_0817400.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000654.00.0;PB102251.00.0;PB102991.00.0;PB108585.00.0;PBANKA_081740	PBANKA_0817400	N/A	no	
PBANKA_0817500	PBANKA_0817500.1	ubiquitin fusion degradation protein 1, putative	Previous IDs: PB001013.03.0;PBANKA_081750	PBANKA_0817500	UFD1	no	
PBANKA_0817600	PBANKA_0817600.1	methyltransferase, putative	Previous IDs: PB000806.02.0;PB001023.01.0;PBANKA_081760	PBANKA_0817600	N/A	no	
PBANKA_0817700	PBANKA_0817700.1	RNA-binding protein musashi, putative	Previous IDs: HoMu;PB000805.02.0;PBANKA_081770	PBANKA_0817700	HoMu	no	
PBANKA_0817800	PBANKA_0817800.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_081780	PBANKA_0817800	N/A	no	
PBANKA_0817900	PBANKA_0817900.1	zinc finger protein, putative	Previous IDs: PB000549.00.0;PBANKA_081790	PBANKA_0817900	N/A	no	
PBANKA_0818000	PBANKA_0818000.1	merozoite organizing protein, putative	Previous IDs: PB000411.02.0;PB001272.00.0;PB100986.00.0;PB301427.00.0;PBANKA_081800	PBANKA_0818000	MOP	no	
PBANKA_0818100	PBANKA_0818100.1	N-glycosylase/DNA lyase, putative	Previous IDs: PB000482.01.0;PBANKA_081810	PBANKA_0818100	OGG1	no	
PBANKA_0818200	PBANKA_0818200.1	conserved protein, unknown function	Previous IDs: PB000416.03.0;PBANKA_081820	PBANKA_0818200	N/A	no	
PBANKA_0818300	PBANKA_0818300.1	conserved protein, unknown function	Previous IDs: PB000415.03.0;PBANKA_081830	PBANKA_0818300	N/A	no	
PBANKA_0818400	PBANKA_0818400.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000949.01.0;PB105852.00.0;PB402483.00.0;PBANKA_081840	PBANKA_0818400	N/A	no	
PBANKA_0818500	PBANKA_0818500.1	conserved protein, unknown function	Previous IDs: PB000898.02.0;PBANKA_081850	PBANKA_0818500	N/A	no	
PBANKA_0818600	PBANKA_0818600.1	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative	Previous IDs: PB000897.02.0;PBANKA_081860	PBANKA_0818600	PRP43	no	
PBANKA_0818700	PBANKA_0818700.1	GPN-loop GTPase, putative	Previous IDs: PB000899.02.0;PB301570.00.0;PBANKA_081870	PBANKA_0818700	N/A	no	
PBANKA_0818800	PBANKA_0818800.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000498.00.0;PB103610.00.0;PBANKA_081880	PBANKA_0818800	N/A	no	
PBANKA_0818900	PBANKA_0818900.1	endoplasmic reticulum chaperone BiP, putative	Previous IDs: PB001177.00.0;PB300921.00.0;PBANKA_081890	PBANKA_0818900	BIP	no	
PBANKA_0819000	PBANKA_0819000.1	glideosome-associated protein 50, putative	Previous IDs: PB001178.00.0;PB300665.00.0;PBANKA_081900	PBANKA_0819000	GAP50	no	
PBANKA_0819100	PBANKA_0819100.1	cytochrome b5, putative	Previous IDs: PB000922.00.0;PBANKA_081910	PBANKA_0819100	N/A	no	
PBANKA_0819200	PBANKA_0819200.1	50S ribosomal protein L3, apicoplast, putative	Previous IDs: PB000360.01.0;PBANKA_081920	PBANKA_0819200	N/A	no	
PBANKA_0819300	PBANKA_0819300.1	eukaryotic translation initiation factor 3 subunit F, putative	Previous IDs: PB000359.01.0;PBANKA_081930	PBANKA_0819300	EIF3F	no	
PBANKA_0819400	PBANKA_0819400.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000361.01.0;PB000605.00.0;PB000730.03.0;PBANKA_081940	PBANKA_0819400	N/A	no	
PBANKA_0819450	PBANKA_0819450.1	telomerase RNA	Previous IDs: PBANKA_081945	PBANKA_0819450	TR	no	
PBANKA_0819500	PBANKA_0819500.1	ATP-dependent DNA helicase Q1, putative	Previous IDs: PB301025.00.0;PBANKA_081950	PBANKA_0819500	RECQ1	no	
PBANKA_0819600	PBANKA_0819600.1	conserved Plasmodium protein, unknown function	Previous IDs: PB103145.00.0;PBANKA_081960	PBANKA_0819600	N/A	no	
PBANKA_0819700	PBANKA_0819700.1	dihydrouridine synthase, putative	Previous IDs: PB000550.01.0;PBANKA_081970	PBANKA_0819700	N/A	no	
PBANKA_0819800	PBANKA_0819800.1	gamma-glutamylcysteine synthetase	Previous IDs: PB001283.02.0;PB301356.00.0;PB301533.00.0;PBANKA_081980;gammaGCS	PBANKA_0819800	gammaGCS	no	
PBANKA_0819900	PBANKA_0819900.1	nucleosome assembly protein	Previous IDs: PB001284.02.0;PBANKA_081990;SET	PBANKA_0819900	NAPS	no	
PBANKA_0820000	PBANKA_0820000.1	DnaJ protein, putative	Previous IDs: PB000731.00.0;PB300164.00.0;PBANKA_082000	PBANKA_0820000	N/A	no	
PBANKA_0820100	PBANKA_0820100.1	PPPDE peptidase, putative	Previous IDs: PB000018.00.0;PBANKA_082010	PBANKA_0820100	N/A	no	
PBANKA_0820200	PBANKA_0820200.1	thioredoxin-like protein 1, putative	Previous IDs: PB000418.03.0;PBANKA_082020	PBANKA_0820200	TrxL1	no	
PBANKA_0820300	PBANKA_0820300.1	protein disulfide isomerase, putative	Previous IDs: PB000417.03.0;PBANKA_082030	PBANKA_0820300	N/A	no	
PBANKA_0820400	PBANKA_0820400.1	major facilitator superfamily domain-containing protein, putative	Previous IDs: PB000161.03.0;PBANKA_082040	PBANKA_0820400	MFS3	no	
PBANKA_0820500	PBANKA_0820500.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1, putative	Previous IDs: PB000160.03.0;PBANKA_082050	PBANKA_0820500	WBP1	no	
PBANKA_0820600	PBANKA_0820600.1	pyridoxal phosphate homeostasis protein, putative	Previous IDs: PB000367.03.0;PBANKA_082060	PBANKA_0820600	N/A	no	
PBANKA_0820700	PBANKA_0820700.1	TLD domain-containing protein	Previous IDs: PB000217.03.0;PB000368.03.0;PBANKA_082070	PBANKA_0820700	N/A	no	
PBANKA_0820800	PBANKA_0820800.1	regulator of chromosome condensation-PP1-interacting protein	Previous IDs: PB000414.00.0;PBANKA_082080	PBANKA_0820800	RCC-PIP	no	
PBANKA_0820900	PBANKA_0820900.1	long chain fatty acid elongation enzyme, putative	Previous IDs: PB300008.00.0;PBANKA_082090	PBANKA_0820900	N/A	no	
PBANKA_0821000	PBANKA_0821000.1	chaperone, putative	Previous IDs: PBANKA_082100	PBANKA_0821000	N/A	no	
PBANKA_0821100	PBANKA_0821100.1	CS domain protein, putative	Previous IDs: PB000835.00.0;PB301138.00.0;PBANKA_082110	PBANKA_0821100	N/A	no	
PBANKA_0821200	PBANKA_0821200.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000836.00.0;PBANKA_082120	PBANKA_0821200	N/A	no	
PBANKA_0821300	PBANKA_0821300.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000830.00.0;PB101480.00.0;PBANKA_082130	PBANKA_0821300	N/A	no	
PBANKA_0821400	PBANKA_0821400.1	ADP-ribosylation factor, putative	Previous IDs: PB000829.00.0;PBANKA_082140	PBANKA_0821400	N/A	no	
PBANKA_0821500	PBANKA_0821500.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000316.01.0;PB000501.01.0;PB300397.00.0;PBANKA_082150	PBANKA_0821500	N/A	no	
PBANKA_0821600	PBANKA_0821600.1	CRAL/TRIO domain-containing protein, putative	Previous IDs: PB000443.00.0;PB000749.00.0;PBANKA_082160	PBANKA_0821600	N/A	no	
PBANKA_0821700	PBANKA_0821700.1	inosine-5'-monophosphate dehydrogenase, putative	Previous IDs: PB000440.00.0;PBANKA_082170	PBANKA_0821700	N/A	no	
PBANKA_0821800	PBANKA_0821800.1	U4/U6 snRNA-associated-splicing factor, putative	Previous IDs: PB000441.00.0;PBANKA_082180	PBANKA_0821800	PRP24	no	
PBANKA_0821900	PBANKA_0821900.1	ubiquitin-conjugating enzyme E2, putative	Previous IDs: PB000442.00.0;PBANKA_082190	PBANKA_0821900	N/A	no	
PBANKA_0822000	PBANKA_0822000.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_082200	PBANKA_0822000	N/A	no	
PBANKA_0822100	PBANKA_0822100.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000030.00.0;PB000888.01.0;PB101492.00.0;PB300001.00.0;PB300189.00.0;PB300256.00.0;PBANKA_082210	PBANKA_0822100	N/A	no	
PBANKA_0822200	PBANKA_0822200.1	conserved protein, unknown function	Previous IDs: PB000260.01.0;PBANKA_082220	PBANKA_0822200	N/A	no	
PBANKA_0822300	PBANKA_0822300.1	NifU-like scaffold protein	Previous IDs: PB000261.01.0;PBANKA_082230	PBANKA_0822300	NifU	no	
PBANKA_0822400	PBANKA_0822400.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_082240	PBANKA_0822400	N/A	no	
PBANKA_0822500	PBANKA_0822500.1	tetratricopeptide repeat protein, putative	Previous IDs: PB000398.00.0;PB300877.00.0;PB301477.00.0;PBANKA_082250	PBANKA_0822500	N/A	no	
PBANKA_0822600	PBANKA_0822600.1	conserved protein, unknown function	Previous IDs: PB000397.00.0;PBANKA_082260	PBANKA_0822600	N/A	no	
PBANKA_0822700	PBANKA_0822700.1	ribosome production factor 1, putative	Previous IDs: PBANKA_082270	PBANKA_0822700	RPF1	no	
PBANKA_0822800	PBANKA_0822800.1	conserved Plasmodium protein, unknown function	Previous IDs: PB108398.00.0;PBANKA_082280	PBANKA_0822800	N/A	no	
PBANKA_0822900	PBANKA_0822900.1	dynein intermediate chain, putative	Previous IDs: PB001113.01.0;PBANKA_082290	PBANKA_0822900	N/A	no	
PBANKA_0823000	PBANKA_0823000.1	ubiquitin-like protein, putative	Previous IDs: PB001114.01.0;PBANKA_082300	PBANKA_0823000	N/A	no	
PBANKA_0823100	PBANKA_0823100.1	S-adenosylmethionine synthetase, putative	Previous IDs: PB000151.03.0;PBANKA_082310	PBANKA_0823100	SAMS	no	
PBANKA_0823200	PBANKA_0823200.1	conserved protein, unknown function	Previous IDs: PB000011.02.0;PBANKA_082320	PBANKA_0823200	N/A	no	
PBANKA_0823300	PBANKA_0823300.1	para-aminobenzoic acid synthetase, putative	Previous IDs: PB000010.02.0;PB000320.00.0;PBANKA_082330	PBANKA_0823300	N/A	no	
PBANKA_0823400	PBANKA_0823400.1	phosphoglycerate kinase, putative	Previous IDs: PB000318.00.0;PBANKA_082340	PBANKA_0823400	PGK	no	
PBANKA_0823500	PBANKA_0823500.1	glutamine synthetase, putative	Previous IDs: PB000319.00.0;PB301483.00.0;PBANKA_082350	PBANKA_0823500	N/A	no	
PBANKA_0823600	PBANKA_0823600.1	pre-mRNA-splicing factor 18, putative	Previous IDs: PB000321.00.0;PBANKA_082360	PBANKA_0823600	PRP18	no	
PBANKA_0823700	PBANKA_0823700.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000010.00.0;PB300010.00.0;PB301147.00.0;PBANKA_082370	PBANKA_0823700	N/A	no	
PBANKA_0823800	PBANKA_0823800.1	3-oxoacyl-[acyl-carrier-protein] reductase, putative	Previous IDs: PB000052.00.0;PBANKA_082380	PBANKA_0823800	FabG	no	
PBANKA_0823900	PBANKA_0823900.1	DNA-directed RNA polymerase II subunit RPB3, putative	Previous IDs: PB000051.00.0;PBANKA_082390	PBANKA_0823900	RPB3	no	
PBANKA_0824000	PBANKA_0824000.1	OTU domain-containing protein, putative	Previous IDs: PBANKA_082400	PBANKA_0824000	N/A	no	
PBANKA_0824100	PBANKA_0824100.1	nitric oxide synthase, putative	Previous IDs: PB000937.01.0;PBANKA_082410	PBANKA_0824100	NOS	no	
PBANKA_0824200	PBANKA_0824200.1	perforin-like protein 3	Previous IDs: MAOP;PB000936.01.0;PB301406.00.0;PBANKA_082420	PBANKA_0824200	PLP3	no	
PBANKA_0824300	PBANKA_0824300.1	conserved Plasmodium protein, unknown function	Previous IDs: PB102972.00.0;PB103846.00.0;PBANKA_082430	PBANKA_0824300	N/A	no	
PBANKA_0824400	PBANKA_0824400.1	cyclin-dependent kinases regulatory subunit, putative	Previous IDs: PB001160.00.0;PBANKA_082440	PBANKA_0824400	N/A	no	
PBANKA_0824500	PBANKA_0824500.1	lipoate-protein ligase 2	Previous IDs: LplA2;PB001158.00.0;PBANKA_082450	PBANKA_0824500	LplA2	no	
PBANKA_0824600	PBANKA_0824600.1	conserved protein, unknown function	Previous IDs: PB001159.00.0;PB301435.00.0;PBANKA_082460	PBANKA_0824600	N/A	no	
PBANKA_0824700	PBANKA_0824700.1	thioredoxin reductase, putative	Previous IDs: PB001157.00.0;PB301363.00.0;PBANKA_082470	PBANKA_0824700	TRXR	no	
PBANKA_0824800	PBANKA_0824800.1	polyadenylate-binding protein 2, putative	Previous IDs: PB001161.00.0;PB300015.00.0;PBANKA_082480	PBANKA_0824800	PABP2	no	
PBANKA_0824900	PBANKA_0824900.1	patatin-like phospholipase, putative	Previous IDs: PB000567.01.0;PB300473.00.0;PBANKA_082490	PBANKA_0824900	N/A	no	
PBANKA_0825000	PBANKA_0825000.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000568.01.0;PBANKA_082500	PBANKA_0825000	N/A	no	
PBANKA_0825100	PBANKA_0825100.1	heptatricopeptide repeat-containing protein, putative	Previous IDs: PB000545.03.0;PB000969.03.0;PBANKA_082510	PBANKA_0825100	N/A	no	
PBANKA_0825200	PBANKA_0825200.1	thiamine pyrophosphokinase, putative	Previous IDs: PB000554.02.0;PBANKA_082520	PBANKA_0825200	TPK	no	
PBANKA_0825300	PBANKA_0825300.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000420.00.0;PBANKA_082530	PBANKA_0825300	N/A	no	
PBANKA_0825400	PBANKA_0825400.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000169.02.0;PB301362.00.0;PBANKA_082540	PBANKA_0825400	N/A	no	
PBANKA_0825500	PBANKA_0825500.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000297.00.0;PB400424.00.0;PBANKA_082550	PBANKA_0825500	N/A	no	
PBANKA_0825600	PBANKA_0825600.1	splicing factor 3A subunit 3, putative	Previous IDs: PB000687.03.0;PBANKA_082560	PBANKA_0825600	SF3A3	no	
PBANKA_0825700	PBANKA_0825700.1	telomeric repeat binding factor 1, putative	Previous IDs: PBANKA_082570	PBANKA_0825700	TRF1	no	
PBANKA_0825800	PBANKA_0825800.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000230.03.0;PBANKA_082580	PBANKA_0825800	N/A	no	
PBANKA_0825900	PBANKA_0825900.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000780.01.0;PBANKA_082590	PBANKA_0825900	N/A	no	
PBANKA_0826000	PBANKA_0826000.1	ribosomal RNA-processing protein 8, putative	Previous IDs: PB000907.02.0;PBANKA_082600	PBANKA_0826000	RRP8	no	
PBANKA_0826100	PBANKA_0826100.1	proline--tRNA ligase, putative	Previous IDs: PB000905.02.0;PBANKA_082610	PBANKA_0826100	aPRS	no	
PBANKA_0826200	PBANKA_0826200.1	protein phosphatase-beta, putative	Previous IDs: PB000904.02.0;PBANKA_082620	PBANKA_0826200	N/A	no	
PBANKA_0826300	PBANKA_0826300.1	thioredoxin-like protein 2, putative	Previous IDs: PB000908.02.0;PB301231.00.0;PBANKA_082630	PBANKA_0826300	TLP2	no	
PBANKA_0826400	PBANKA_0826400.1	zinc binding protein (Yippee), putative	Previous IDs: PB000906.02.0;PBANKA_082640	PBANKA_0826400	N/A	no	
PBANKA_0826500	PBANKA_0826500.1	histone deacetylase 1, putative	Previous IDs: HDAC1;PB000903.02.0;PB300195.00.0;PBANKA_082650	PBANKA_0826500	HDAC1	no	
PBANKA_0826600	PBANKA_0826600.1	armadillo repeat protein, putative	Previous IDs: PB000575.01.0;PBANKA_082660	PBANKA_0826600	N/A	no	
PBANKA_0826700	PBANKA_0826700.1	parasitophorous vacuolar protein 5	Previous IDs: PB000110.02.0;PBANKA_082670	PBANKA_0826700	PV5	no	
PBANKA_0826800	PBANKA_0826800.1	protein kinase, putative	Previous IDs: PB000217.00.0;PB001260.00.0;PBANKA_082680	PBANKA_0826800	N/A	no	
PBANKA_0826900	PBANKA_0826900.1	protein kinase, putative	Previous IDs: PB000163.01.0;PB001259.00.0;PBANKA_082690	PBANKA_0826900	N/A	no	
PBANKA_0827000	PBANKA_0827000.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_082700	PBANKA_0827000	N/A	no	
